gcName,gcAction,gcCause,startTime,duration
G1 Young Generation,end of minor GC,G1 Evacuation Pause,431,35
G1 Young Generation,end of minor GC,G1 Evacuation Pause,502,72
G1 Young Generation,end of minor GC,G1 Evacuation Pause,680,171
G1 Young Generation,end of minor GC,G1 Evacuation Pause,902,143
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1091,177
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1325,167
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1542,179
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1765,185
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1992,330
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2671,458
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3269,426
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3792,437
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4348,504
G1 Young Generation,end of minor GC,G1 Evacuation Pause,5170,647
G1 Young Generation,end of minor GC,G1 Evacuation Pause,5975,632
G1 Young Generation,end of minor GC,G1 Evacuation Pause,6772,630
G1 Young Generation,end of minor GC,G1 Evacuation Pause,7523,639
G1 Young Generation,end of minor GC,G1 Evacuation Pause,8455,754
G1 Young Generation,end of minor GC,G1 Evacuation Pause,9396,885
G1 Young Generation,end of minor GC,G1 Evacuation Pause,10437,834
G1 Young Generation,end of minor GC,G1 Evacuation Pause,11425,936
G1 Young Generation,end of minor GC,G1 Evacuation Pause,13450,875
G1 Young Generation,end of minor GC,G1 Evacuation Pause,14485,802
G1 Young Generation,end of minor GC,G1 Evacuation Pause,15520,819
G1 Young Generation,end of minor GC,G1 Evacuation Pause,16617,814
G1 Young Generation,end of minor GC,G1 Evacuation Pause,17857,842
G1 Young Generation,end of minor GC,G1 Evacuation Pause,19046,859
G1 Young Generation,end of minor GC,G1 Evacuation Pause,20101,842
G1 Young Generation,end of minor GC,G1 Evacuation Pause,22131,967
G1 Young Generation,end of minor GC,G1 Evacuation Pause,25242,1162
G1 Young Generation,end of minor GC,G1 Evacuation Pause,27623,877
G1 Young Generation,end of minor GC,G1 Evacuation Pause,29130,1004
G1 Young Generation,end of minor GC,G1 Evacuation Pause,31119,932
G1 Young Generation,end of minor GC,G1 Evacuation Pause,32874,1072
G1 Young Generation,end of minor GC,G1 Evacuation Pause,34224,1078
G1 Young Generation,end of minor GC,G1 Evacuation Pause,35632,1032
G1 Young Generation,end of minor GC,G1 Evacuation Pause,36899,1331
G1 Young Generation,end of minor GC,G1 Evacuation Pause,39002,1125
G1 Young Generation,end of minor GC,G1 Evacuation Pause,40883,1178
G1 Young Generation,end of minor GC,G1 Evacuation Pause,43582,1604
G1 Young Generation,end of minor GC,G1 Evacuation Pause,45454,945
G1 Young Generation,end of minor GC,G1 Evacuation Pause,46740,926
G1 Young Generation,end of minor GC,G1 Evacuation Pause,47966,898
G1 Young Generation,end of minor GC,G1 Evacuation Pause,49609,1413
G1 Young Generation,end of minor GC,G1 Evacuation Pause,51502,1240
G1 Young Generation,end of minor GC,G1 Evacuation Pause,53142,989
G1 Young Generation,end of minor GC,G1 Evacuation Pause,55243,916
G1 Young Generation,end of minor GC,G1 Evacuation Pause,57171,1132
G1 Young Generation,end of minor GC,G1 Evacuation Pause,60288,1004
G1 Young Generation,end of minor GC,G1 Evacuation Pause,62650,1013
G1 Young Generation,end of minor GC,G1 Evacuation Pause,64097,1313
G1 Young Generation,end of minor GC,G1 Evacuation Pause,65730,1046
G1 Young Generation,end of minor GC,G1 Evacuation Pause,67188,913
G1 Young Generation,end of minor GC,G1 Evacuation Pause,68698,1229
G1 Old Generation,end of major GC,G1 Evacuation Pause,69928,20342
G1 Young Generation,end of minor GC,G1 Evacuation Pause,90859,1043
G1 Young Generation,end of minor GC,G1 Evacuation Pause,92424,849
G1 Young Generation,end of minor GC,G1 Evacuation Pause,95899,989
G1 Young Generation,end of minor GC,G1 Evacuation Pause,97752,981
G1 Young Generation,end of minor GC,G1 Evacuation Pause,101409,890
G1 Young Generation,end of minor GC,G1 Evacuation Pause,102996,868
G1 Young Generation,end of minor GC,G1 Evacuation Pause,104745,861
G1 Young Generation,end of minor GC,G1 Evacuation Pause,106047,906
G1 Young Generation,end of minor GC,G1 Evacuation Pause,107678,866
G1 Young Generation,end of minor GC,G1 Evacuation Pause,108865,878
G1 Young Generation,end of minor GC,G1 Evacuation Pause,110330,914
G1 Young Generation,end of minor GC,G1 Evacuation Pause,111926,866
G1 Young Generation,end of minor GC,G1 Evacuation Pause,113233,1169
G1 Young Generation,end of minor GC,G1 Evacuation Pause,114495,314
G1 Old Generation,end of major GC,G1 Evacuation Pause,114809,14154
G1 Young Generation,end of minor GC,G1 Evacuation Pause,129320,826
G1 Young Generation,end of minor GC,G1 Evacuation Pause,130556,812
G1 Young Generation,end of minor GC,G1 Evacuation Pause,132013,845
G1 Young Generation,end of minor GC,G1 Evacuation Pause,133251,865
G1 Young Generation,end of minor GC,G1 Evacuation Pause,134704,868
G1 Young Generation,end of minor GC,G1 Evacuation Pause,136013,996
G1 Young Generation,end of minor GC,G1 Evacuation Pause,137247,783
G1 Old Generation,end of major GC,G1 Evacuation Pause,138030,10831
G1 Young Generation,end of minor GC,G1 Evacuation Pause,149097,818
G1 Young Generation,end of minor GC,G1 Evacuation Pause,150169,789
G1 Young Generation,end of minor GC,G1 Evacuation Pause,151302,1040
G1 Young Generation,end of minor GC,G1 Evacuation Pause,152436,404
G1 Old Generation,end of major GC,G1 Evacuation Pause,152840,9230
G1 Young Generation,end of minor GC,G1 Evacuation Pause,162264,960
G1 Young Generation,end of minor GC,G1 Evacuation Pause,163317,749
G1 Old Generation,end of major GC,G1 Evacuation Pause,164067,9719
G1 Young Generation,end of minor GC,G1 Evacuation Pause,173903,910
G1 Old Generation,end of major GC,G1 Evacuation Pause,174813,9308
G1 Young Generation,end of minor GC,G1 Evacuation Pause,184281,655
G1 Old Generation,end of major GC,G1 Evacuation Pause,184936,9316
G1 Young Generation,end of minor GC,G1 Evacuation Pause,194401,449
G1 Old Generation,end of major GC,G1 Evacuation Pause,194850,16227
G1 Young Generation,end of minor GC,G1 Evacuation Pause,211128,293
G1 Old Generation,end of major GC,G1 Evacuation Pause,211421,16402
G1 Young Generation,end of minor GC,G1 Evacuation Pause,750,44
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1084,265
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1402,147
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1590,148
G1 Young Generation,end of minor GC,G1 Evacuation Pause,1783,180
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2064,184
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2291,183
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2513,183
G1 Young Generation,end of minor GC,G1 Evacuation Pause,2739,251
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3192,457
G1 Young Generation,end of minor GC,G1 Evacuation Pause,3764,424
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4287,455
G1 Young Generation,end of minor GC,G1 Evacuation Pause,4835,535
G1 Young Generation,end of minor GC,G1 Evacuation Pause,5745,662
G1 Young Generation,end of minor GC,G1 Evacuation Pause,6574,651
G1 Young Generation,end of minor GC,G1 Evacuation Pause,7477,670
G1 Young Generation,end of minor GC,G1 Evacuation Pause,8344,674
G1 Young Generation,end of minor GC,G1 Evacuation Pause,9499,767
G1 Young Generation,end of minor GC,G1 Evacuation Pause,10608,888
G1 Young Generation,end of minor GC,G1 Evacuation Pause,11783,787
